category,part_no,description,p3_qty,p3_extras,p3_total,spare,grand_total,site_ALBA,site_ALVF,site_ALVY,site_BAND,site_BENT,site_BKLY,site_BUCK,site_CAPP,site_CHEM,site_COWL,site_CPJK,site_EUGE,site_FAMT,site_FAVW,site_FORT,site_GMRS,site_GRIZ,site_HAPY,site_KEEL,site_LANE,site_LAPI,site_LNHR,site_MALN,site_MARN,site_MCLO,site_MNCR,site_MOPN,site_NBMO,site_OSTD,site_PERL,site_POAN,site_PROH,site_RDMD,site_REED,site_REST,site_SALE,site_SANT,site_SHEL,site_SOMW,site_STJO,site_SUML,site_SYCN,site_TAHK,site_WEND,site_WKMZ,extras_ALBA,extras_ALVF,extras_ALVY,extras_BAND,extras_BENT,extras_BKLY,extras_BUCK,extras_CAPP,extras_CHEM,extras_COWL,extras_CPJK,extras_EUGE,extras_FAMT,extras_FAVW,extras_FORT,extras_GMRS,extras_GRIZ,extras_HAPY,extras_KEEL,extras_LANE,extras_LAPI,extras_LNHR,extras_MALN,extras_MARN,extras_MCLO,extras_MNCR,extras_MOPN,extras_NBMO,extras_OSTD,extras_PERL,extras_POAN,extras_PROH,extras_RDMD,extras_REED,extras_REST,extras_SALE,extras_SANT,extras_SHEL,extras_SOMW,extras_STJO,extras_SUML,extras_SYCN,extras_TAHK,extras_WEND,extras_WKMZ
Optics,3HE14649AA,SFP+ 10GE eZR - LC ROHS6/6 0/70C,4,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Optics,CLEI code,Not Found,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optics,3HE09329AA,SFP+10GE ZR - LC ROHS6/6 -40/85C,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optics,1AB3731200,OC3/STM1 APD ULH SFP 1510NM,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Additional Material,3HE10339AA,CPX DC Defender Modules,99,99,198,11,114,2,2,4,2,2,2,2,2,2,2,4,1,2,2,2,4,2,2,2,2,2,2,6,2,2,2,0,2,3,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,1,2,2,2,4,2,2,2,2,2,2,6,2,2,2,0,2,3,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2
Additional Material,3CC52216AA,Fan-Alarm Evo 8 HK cord 7.5m,86,86,172,1,90,2,1,5,4,2,2,2,1,0,1,3,4,1,2,0,0,4,2,0,1,0,2,4,5,1,0,0,2,0,0,2,2,3,2,3,2,3,3,2,1,0,9,1,0,2,2,1,5,4,2,2,2,1,0,1,3,4,1,2,0,0,4,2,0,1,0,2,4,5,1,0,0,2,0,0,2,2,3,2,3,2,3,3,2,1,0,9,1,0,2
Additional Material,3HE12442AA,"4 PORT RS232 DIST PANEL,SDIv3 ONLY",62,62,124,6,70,0,0,4,1,2,2,0,0,0,1,2,0,2,1,2,0,4,1,1,0,0,2,4,2,0,1,2,1,2,2,3,0,4,1,1,1,2,2,1,1,2,1,2,2,0,0,0,4,1,2,2,0,0,0,1,2,0,2,1,2,0,4,1,1,0,0,2,4,2,0,1,2,1,2,2,3,0,4,1,1,1,2,2,1,1,2,1,2,2,0
Additional Material,3HE10338AA,EXTERNAL SURGE PROTECTION KIT,62,62,124,3,67,1,1,3,1,1,1,1,1,2,1,2,0,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,0,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1
Additional Material,3HE12410AA,DCE CABLE for SDI V3,59,59,118,1,61,1,0,6,2,2,2,0,1,0,1,0,3,1,1,0,0,8,1,0,0,0,2,1,3,0,0,0,1,0,0,2,0,6,1,1,1,2,2,1,0,0,5,1,1,0,1,0,6,2,2,2,0,1,0,1,0,3,1,1,0,0,8,1,0,0,0,2,1,3,0,0,0,1,0,0,2,0,6,1,1,1,2,2,1,0,0,5,1,1,0
Additional Material,1AB2151200,SHORT JUMPER LC (230MM),1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Additional Material,3HE03399AB,T1/E1 CABLE 26 AWG OPEN-ENDED 30M,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
